num_agents,fault_count,success,duration,total_distance,avg_distance,gini_index,reallocation_time,cost_efficiency,recovery_count,crashed_count,total_bids,bids_per_auction,wasted_attempts,map_coverage,scenario_tag,scenario,trial
8,0,True,274.95,542.9497374998334,67.86871718747918,0.07142857142857142,0.0,2.289574468085107,0,0,12192,8.0,0,65.625,N8_NoFault,Scalability,12
8,0,True,238.43333333333334,528.647232550206,66.08090406877575,0.022435897435897436,0.0,2.3674468085106386,0,0,11544,8.0,0,60.9375,N8_NoFault,Scalability,13
8,0,True,229.78333333333333,497.9789381594481,62.24736726993101,0.05555555555555555,0.0,2.2363636363636368,0,0,11088,8.0,0,56.25,N8_NoFault,Scalability,14
8,0,False,1666.6666666666667,1001.1323852802983,125.14154816003729,0.1326923076923077,89.23630952380951,2.382898550724638,11,0,13912,8.0,1,100.0,N8_NoFault,Scalability,15
8,0,True,349.96666666666664,684.1687909714306,85.52109887142882,0.10185185185185185,0.0,2.3455000000000004,0,0,13168,8.0,0,84.375,N8_NoFault,Scalability,16
8,0,True,314.8666666666667,643.2581372004801,80.40726715006001,0.04807692307692308,0.0,2.320701754385965,0,0,12896,8.0,0,81.25,N8_NoFault,Scalability,17
8,0,True,108.86666666666666,223.70768158337094,27.963460197921368,0.25,19.3984375,2.11125,2,2,4632,8.0,0,12.5,N8_NoFault,Scalability,18
8,0,True,128.9,297.8902806292244,37.23628507865305,0.0625,0.0,2.1758333333333337,0,0,6208,8.0,0,25.0,N8_NoFault,Scalability,19
8,0,True,383.76666666666665,721.8535533658163,90.23169417072704,0.10344827586206896,74.48078703703703,2.324603174603175,14,2,14040,8.0,3,85.9375,N8_NoFault,Scalability,20
8,0,True,78.96666666666667,202.24314226745187,25.280392783431484,0.125,0.0,2.1046666666666662,0,0,2968,8.0,0,10.9375,N8_NoFault,Scalability,21
8,0,False,748.75,939.2261792065199,117.40327240081498,0.34423076923076923,68.22895480225989,2.343283582089552,59,2,15896,8.0,1,100.0,N8_NoFault,Scalability,22
8,0,True,160.45,365.29241201405705,45.66155150175713,0.0,0.0,2.193437500000001,0,0,8544,8.0,0,37.5,N8_NoFault,Scalability,23
8,0,True,39.0,105.99015415740303,13.248769269675378,0.0,0.0,2.0,0,0,0,0.0,0,0.0,N8_NoFault,Scalability,24
8,0,True,133.08333333333334,304.86048325439975,38.10756040679997,0.0,0.0,2.170833333333334,0,0,6208,8.0,0,25.0,N8_NoFault,Scalability,25
8,0,True,323.8666666666667,622.2646949338406,77.78308686673007,0.08,61.321813725490195,2.3169090909090913,13,1,13808,8.0,3,73.4375,N8_NoFault,Scalability,26
8,0,True,167.51666666666668,371.2960700488992,46.4120087561124,0.035,0.0,2.2263636363636365,0,0,8800,8.0,0,39.0625,N8_NoFault,Scalability,27
8,0,True,42.766666666666666,127.85872975732511,15.982341219665638,0.0,0.0,2.0,0,0,0,0.0,0,0.0,N8_NoFault,Scalability,28
